TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Age,Gender,Marital Status,Income,Product Name,StoreName,GroupStore,Type,Latitude,Longitude
TR11369,328,01/01/2022,P3,7500,4,30000,12,36.0,0.0,Married,"10,53",Crackers,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR16356,165,01/01/2022,P9,10000,7,70000,1,44.0,1.0,Married,"14,58",Yoghurt,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR1984,183,01/01/2022,P1,8800,4,35200,4,27.0,1.0,Single,"0,18",Choco Bar,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR35256,160,01/01/2022,P1,8800,7,61600,4,48.0,1.0,Married,"12,57",Choco Bar,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR41231,386,01/01/2022,P9,10000,1,10000,4,33.0,0.0,Married,"6,95",Yoghurt,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR51675,283,01/01/2022,P10,15000,1,15000,5,19.0,1.0,Single,0,Cheese Stick,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR54287,51,01/01/2022,P8,16000,2,32000,2,36.0,0.0,Married,"7,95",Oat,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR67455,49,01/01/2022,P5,4200,3,12600,13,44.0,1.0,Married,"13,48",Thai Tea,Buana,Buana,General Trade,"-1,26916","116,825264"
TR73041,222,01/01/2022,P9,10000,6,60000,4,45.0,0.0,Married,"15,03",Yoghurt,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR7596,270,01/01/2022,P7,9400,2,18800,14,49.0,1.0,Married,"8,81",Coffee Candy,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR76340,287,01/01/2022,P4,12000,4,48000,12,36.0,0.0,Single,"3,7",Potato Chip,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR97336,233,01/01/2022,P7,9400,2,18800,12,43.0,1.0,Married,"5,69",Coffee Candy,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR99839,123,01/01/2022,P2,3200,6,19200,1,34.0,0.0,Married,"4,36",Ginger Candy ,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR14355,203,02/01/2022,P3,7500,4,30000,10,53.0,0.0,Married,"17,2",Crackers,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR16534,421,02/01/2022,P3,7500,2,15000,14,35.0,0.0,Married,"9,01",Crackers,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR2045,32,02/01/2022,P7,9400,4,37600,5,34.0,0.0,Married,"10,96",Coffee Candy,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR20925,159,02/01/2022,P10,15000,2,30000,13,53.0,1.0,Married,"13,65",Cheese Stick,Buana,Buana,General Trade,"-1,26916","116,825264"
TR26678,321,02/01/2022,P6,18000,3,54000,12,45.0,0.0,Married,"8,03",Cashew,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR29436,335,02/01/2022,P6,18000,3,54000,3,29.0,1.0,Single,"4,74",Cashew,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR30993,14,02/01/2022,P10,15000,2,30000,6,58.0,1.0,Married,"10,18",Cheese Stick,Lingga,Lingga,Modern Trade,"-5,135399","119,42379"
TR33449,18,02/01/2022,P6,18000,2,36000,9,47.0,0.0,Married,"13,6",Cashew,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR34291,333,02/01/2022,P7,9400,2,18800,7,47.0,0.0,Married,"17,99",Coffee Candy,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR3533,24,02/01/2022,P6,18000,3,54000,10,37.0,0.0,Married,"9,53",Cashew,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR46701,48,02/01/2022,P2,3200,6,19200,9,32.0,0.0,Married,"10,62",Ginger Candy ,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR48742,87,02/01/2022,P5,4200,2,8400,3,44.0,1.0,Married,"9,57",Thai Tea,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR63499,118,02/01/2022,P1,8800,7,61600,14,20.0,1.0,Single,"3,28",Choco Bar,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR66576,250,02/01/2022,P7,9400,5,47000,5,30.0,1.0,Married,"3,96",Coffee Candy,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR7826,181,02/01/2022,P1,8800,10,88000,12,33.0,1.0,Married,"9,94",Choco Bar,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR93759,34,02/01/2022,P10,15000,2,30000,4,45.0,0.0,Married,"6,36",Cheese Stick,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR10346,322,03/01/2022,P3,7500,4,30000,4,41.0,0.0,Married,"20,01",Crackers,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR13,285,03/01/2022,P8,16000,1,16000,6,20.0,0.0,Single,0,Oat,Lingga,Lingga,Modern Trade,"-5,135399","119,42379"
TR15573,91,03/01/2022,P2,3200,6,19200,13,59.0,0.0,Married,"9,85",Ginger Candy ,Buana,Buana,General Trade,"-1,26916","116,825264"
